date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:57	190963/190963	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202026%2019:35:57%20GMT	https://herbnkathy.com/	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/index.html	(from )
14:35:57	112/112	---MCZ	200	added ('OK')	text/plain	date:Wed,%2004%20Feb%202026%2019:35:57%20GMT	https://herbnkathy.com/robots.txt		(from )
14:35:58	5842/5842	---MC-	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202026%2019:35:58%20GMT	http://gmpg.org/xfn/11	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/gmpg.org/xfn/11.html	(from https://herbnkathy.com/)
14:35:58	43662/43662	---MCZ	200	added ('OK')	text/css	etag:W/%2267f2c7cf-aa8e%22	https://herbnkathy.com/wp-content/themes/karuna-wpcom/style.css?ver=6.9.1	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-content/themes/karuna-wpcom/style4d80.css	(from https://herbnkathy.com/)
14:35:58	11624/11624	---MCZ	200	added ('OK')	text/css	etag:W/%2267f2c7cf-2d68%22	https://herbnkathy.com/wp-content/themes/karuna-wpcom/blocks.css?ver=6.9.1	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-content/themes/karuna-wpcom/blocks4d80.css	(from https://herbnkathy.com/)
14:35:59	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2019:35:59%20GMT	http://fonts.googleapis.com/	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/fonts.googleapis.com/index.html	(from https://herbnkathy.com/)
14:35:59	774/774	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Feb%202026%2019:35:59%20GMT	https://fonts.googleapis.com/css?family=Karla%3A400%2C400italic%2C700%2C700italic&subset=latin%2Clatin-ext	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/fonts.googleapis.com/cssd013.css	(from https://herbnkathy.com/)
14:35:59	117063/117063	---MC-	200	added ('OK')	application/rss+xml	etag:%22ed7d0859f7756c2c68f47821da2a21de%22	https://herbnkathy.com/feed/	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/feed/index.html	(from https://herbnkathy.com/)
14:35:59	154/154	---MCZ	200	added ('OK')	text/css	etag:W/%2267f2c7cf-9a%22	https://herbnkathy.com/wp-content/themes/karuna-wpcom/assets/fonts/genericons/genericons.css?ver=3.4.1	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-content/themes/karuna-wpcom/assets/fonts/genericons/genericons5589.css	(from https://herbnkathy.com/)
14:36:00	1202/1202	---M--	200	added ('OK')	image/jpeg	etag:%2261847f8e-4b2%22	https://herbnkathy.com/wp-content/uploads/2021/11/cropped-HerbKathySelfieMexicoSmall-32x32.jpg	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-content/uploads/2021/11/cropped-HerbKathySelfieMexicoSmall-32x32.jpg	(from https://herbnkathy.com/)
14:36:00	11383/11383	---MC-	200	added ('OK')	application/rss+xml	etag:%22ed7d0859f7756c2c68f47821da2a21de%22	https://herbnkathy.com/comments/feed/	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/comments/feed/index.html	(from https://herbnkathy.com/)
14:36:00	12369/12369	---M--	200	added ('OK')	image/jpeg	etag:%2261847f8e-3051%22	https://herbnkathy.com/wp-content/uploads/2021/11/cropped-HerbKathySelfieMexicoSmall-192x192.jpg	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-content/uploads/2021/11/cropped-HerbKathySelfieMexicoSmall-192x192.jpg	(from https://herbnkathy.com/)
14:36:00	11534/11534	---M--	200	added ('OK')	image/jpeg	etag:%2261847f8e-2d0e%22	https://herbnkathy.com/wp-content/uploads/2021/11/cropped-HerbKathySelfieMexicoSmall-180x180.jpg	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-content/uploads/2021/11/cropped-HerbKathySelfieMexicoSmall-180x180.jpg	(from https://herbnkathy.com/)
14:36:01	418911/418911	---M--	200	added ('OK')	image/png	etag:%2260340719-6645f%22	https://herbnkathy.com/wp-content/uploads/2020/05/cropped-Blog-Header2-May-2020.png	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-content/uploads/2020/05/cropped-Blog-Header2-May-2020.png	(from https://herbnkathy.com/)
14:36:01	223579/223579	---MCZ	200	added ('OK')	application/json	date:Wed,%2004%20Feb%202026%2019:36:01%20GMT	https://herbnkathy.com/wp-json/	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-json/index.html	(from https://herbnkathy.com/)
14:36:01	36934/36934	---M--	200	added ('OK')	image/jpeg	etag:%2267736cf6-9046%22	https://herbnkathy.com/wp-content/uploads/2024/12/20241218_142702789372852136258940-685x514.jpg	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-content/uploads/2024/12/20241218_142702789372852136258940-685x514.jpg	(from https://herbnkathy.com/)
14:36:01	66184/66184	---M--	200	added ('OK')	image/jpeg	etag:%2267734d52-10288%22	https://herbnkathy.com/wp-content/uploads/2024/12/20241129_0852368593900636309647649.jpg	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-content/uploads/2024/12/20241129_0852368593900636309647649.jpg	(from https://herbnkathy.com/)
14:36:01	8830/8830	---M--	200	added ('OK')	image/jpeg	etag:%2267734d52-227e%22	https://herbnkathy.com/wp-content/uploads/2024/12/20241129_0852183222674175472518318-300x225.jpg	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-content/uploads/2024/12/20241129_0852183222674175472518318-300x225.jpg	(from https://herbnkathy.com/)
14:36:02	22669/22669	---M--	200	added ('OK')	image/jpeg	etag:%2267734dd0-588d%22	https://herbnkathy.com/wp-content/uploads/2024/12/20241127_1130112122637263141107009.jpg	C:/Users/Dbald/OneDrive/HerbnKathy/basenew/herbnkathy/herbnkathy.com/wp-content/uploads/2024/12/20241127_1130112122637263141107009.jpg	(from https://herbnkathy.com/)
